2015-06-28 23:40:08 INFO  [org.springframework.context.support.ClassPathXmlApplicationContext:513,main] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@45a270b2: startup date [Sun Jun 28 23:40:08 CST 2015]; root of context hierarchy
2015-06-28 23:40:21 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:4000,limit:500,get size:500,cost:602
2015-06-28 23:40:21 INFO  [com.lezo.iscript.yeam.resultmgr.directory.DirFileScanner:111,fileProduce-1-thread-1] list data.directoryKey:baidu.com/idocs/iscript/20150628/ConfigProxyDetector/cf1015cb-d56f-454d-a133-fffd4a9a6035,result:0,accept:0,params:{"limit":"200-300","marker":"100-200"}
2015-06-28 23:40:21 INFO  [com.lezo.iscript.yeam.resultmgr.directory.DirFileScanner:115,fileProduce-1-thread-1] list to EOF.directoryKey:baidu.com/idocs/iscript/20150628/ConfigProxyDetector/cf1015cb-d56f-454d-a133-fffd4a9a6035,listTimes:3,maxCount:200,listCost:102,fromStamp:1435505927000,toStamp:1435506016550
2015-06-28 23:40:21 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:4500,limit:500,get size:500,cost:490
2015-06-28 23:40:22 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:5000,limit:500,get size:500,cost:507
2015-06-28 23:40:22 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:5500,limit:500,get size:500,cost:560
2015-06-28 23:40:23 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:6000,limit:500,get size:500,cost:504
2015-06-28 23:40:23 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:6500,limit:500,get size:500,cost:553
2015-06-28 23:40:24 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:7000,limit:500,get size:500,cost:583
2015-06-28 23:40:24 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:7500,limit:500,get size:500,cost:510
2015-06-28 23:40:25 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:8000,limit:500,get size:500,cost:655
2015-06-28 23:40:26 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:8500,limit:500,get size:500,cost:553
2015-06-28 23:40:26 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:9000,limit:500,get size:500,cost:623
2015-06-28 23:40:27 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:9500,limit:500,get size:500,cost:570
2015-06-28 23:40:27 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:10000,limit:500,get size:500,cost:531
2015-06-28 23:40:28 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:10500,limit:500,get size:500,cost:545
2015-06-28 23:40:28 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:11000,limit:500,get size:500,cost:498
2015-06-28 23:40:29 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:11500,limit:500,get size:500,cost:503
2015-06-28 23:40:29 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:12000,limit:500,get size:500,cost:547
2015-06-28 23:40:30 INFO  [com.lezo.iscript.service.crawler.service.impl.SynonymBrandServiceImpl:48,main] load brand dto,fromId:12500,limit:500,get size:500,cost:493
